package	version	repository	optional	size	sha256	url
fzf	0.74.2	main	false	1424924	8e51b6137c549bab647a854f44be425803929383ba2e39fa7df37037c8f73303	https://packages.termux.dev/apt/termux-main/pool/main/f/fzf/fzf_0.74.2_aarch64.deb
game-music-emu	0.6.5	main	false	127952	ffe1c43919d485409b2459d462b2dc6389492afeea869aef701b391a4ed29c67	https://packages.termux.dev/apt/termux-main/pool/main/g/game-music-emu/game-music-emu_0.6.5_aarch64.deb
gawk	5.3.2	main	false	872744	4e5c3163cf0e845434f25560db21920bf7970a7d7fb4462bd73360258c879717	https://packages.termux.dev/apt/termux-main/pool/main/g/gawk/gawk_5.3.2_aarch64.deb
gdbm	1.26-1	main	false	150284	c378de833aae3cf41f3028491ea11836479d9833ab653edc27d0c0e0e691d5c5	https://packages.termux.dev/apt/termux-main/pool/main/g/gdbm/gdbm_1.26-1_aarch64.deb
gdk-pixbuf	2.44.7	main	false	153324	c799fa9f08c6456d1187a35bab38ab32b8cb20a713b4eef3fbab95b094b0fc55	https://packages.termux.dev/apt/termux-main/pool/main/g/gdk-pixbuf/gdk-pixbuf_2.44.7_aarch64.deb
gh	2.97.0	main	false	9723888	dd578457a160dc86dbeb08a106584eb859ff34d9703c36938e20d797e3b74d4a	https://packages.termux.dev/apt/termux-main/pool/main/g/gh/gh_2.97.0_aarch64.deb
giflib	5.2.2-2	main	false	18220	4d30733db0778db1aa2a24fcc39bb97597795e96e85f0ba1ed166965ad1354dc	https://packages.termux.dev/apt/termux-main/pool/main/g/giflib/giflib_5.2.2-2_aarch64.deb
git	2.55.0	main	false	4486868	21b16fa06837e5bf94ad257da532c40eb049c120d21f6cb60a6411c0bcee7197	https://packages.termux.dev/apt/termux-main/pool/main/g/git/git_2.55.0_aarch64.deb
glib	2.88.3	main	false	2557432	b1bfc40c4cfde83470de9efac1e546fdf643b77a966c20a8612bddc7c59cd3dc	https://packages.termux.dev/apt/termux-main/pool/main/g/glib/glib_2.88.3_aarch64.deb
glslang	16.5.0	main	false	2530880	9b1f96bdb0c7679c79d9ae60c1089deb38c0f8731a80232795fbd3aa582f8ac7	https://packages.termux.dev/apt/termux-main/pool/main/g/glslang/glslang_16.5.0_aarch64.deb
gobject-introspection	1.86.0-2	main	true	203612	e94124718af645c3a250fde2924b3b82861b7ce48f873b0a871ced6207434d56	https://packages.termux.dev/apt/termux-main/pool/main/g/gobject-introspection/gobject-introspection_1.86.0-2_aarch64.deb
